# x
3.404040336608886719e+00 -1.183673501014709473e+00 3.000000000000000000e+00
6.444444656372070312e+00 1.510204076766967773e+00 1.899999976158142090e+00
6.727272510528564453e+00 2.000000000000000000e+00 2.299999952316284180e+00
3.474747419357299805e+00 -1.265306115150451660e+00 1.200000047683715820e+00
4.888888835906982422e+00 -3.673469424247741699e-01 5.599999904632568359e+00
5.242424011230468750e+00 -1.510204076766967773e+00 4.000000000000000000e+00
2.414141416549682617e+00 1.183673501014709473e+00 1.700000047683715820e+00
2.979798078536987305e+00 -3.673469424247741699e-01 3.799999952316284180e+00
6.868686676025390625e+00 -6.938775777816772461e-01 0.000000000000000000e+00
5.313131332397460938e+00 -4.489795863628387451e-01 2.200000047683715820e+00
7.292929172515869141e+00 3.673469424247741699e-01 6.900000095367431641e+00
3.262626171112060547e+00 6.122449040412902832e-01 6.800000190734863281e+00
4.747474670410156250e+00 2.040816396474838257e-01 4.500000000000000000e+00
6.444444656372070312e+00 2.040816396474838257e-01 4.699999809265136719e+00
7.222222328186035156e+00 -1.224489808082580566e-01 5.099999904632568359e+00
6.797979831695556641e+00 1.673469424247741699e+00 4.199999809265136719e+00
7.505050659179687500e+00 1.265306115150451660e+00 3.000000000000000000e+00
1.565656542778015137e+00 1.673469424247741699e+00 2.799999952316284180e+00
4.252525329589843750e+00 -5.306122303009033203e-01 4.800000190734863281e+00
2.696969747543334961e+00 -6.122449040412902832e-01 6.599999904632568359e+00
4.393939495086669922e+00 1.918367385864257812e+00 2.000000029802322388e-01
1.353535294532775879e+00 -3.673469424247741699e-01 1.299999952316284180e+00
5.878787994384765625e+00 1.224489808082580566e-01 6.099999904632568359e+00
1.565656542778015137e+00 -7.755101919174194336e-01 5.000000000000000000e+00
4.535353660583496094e+00 4.081632569432258606e-02 4.099999904632568359e+00
2.484848499298095703e+00 -4.489795863628387451e-01 3.000000119209289551e-01
3.474747419357299805e+00 1.755102038383483887e+00 5.500000000000000000e+00
3.474747419357299805e+00 -1.183673501014709473e+00 3.099999904632568359e+00
1.919191956520080566e+00 -4.081632569432258606e-02 2.200000047683715820e+00
4.464646339416503906e+00 1.755102038383483887e+00 1.100000023841857910e+00
1.565656542778015137e+00 6.938775777816772461e-01 1.500000000000000000e+00
4.181818008422851562e+00 8.571428656578063965e-01 8.000000119209289551e-01
1.000000000000000000e+00 2.040816396474838257e-01 1.000000000000000000e+00
